都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
092088,0111000034,栃木県,小山市,小山総合公園,オヤマソウゴウコウエン,栃木県小山市外城371-1,,36.30305,139.781438,サイクルセンター事務室,(0285)21-3190,,4000020092088,小山市,月火水木金土日,8:30,16:00,年末年始を除く。,有,,
092088,0111000035,栃木県,小山市,シルバー人材センター,シルバージンザイセンター,栃木県小山市東城南5-15-8,,36.287064,139.810989,事務室,(0285)28-4130,,4000020092088,小山市,月火水木金,8:30,17:15,祝日、年末年始を除く。,有,,
092088,0111000036,栃木県,小山市,ファミリーマート小山出井北店,ファミリーマートオヤマイデイキタテン,栃木県小山市出井1252-10,,36.345314,139.851986,カウウンター裏バックヤード,(0285)30-3113,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000037,栃木県,小山市,ファミリーマート小山東野田店,ファミリーマートオヤマヒガシノダテン,栃木県小山市東野田2221-1,,36.258158,139.803163,カウウンター裏バックヤード,(0285)31-3800,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000038,栃木県,小山市,ファミリーマート小山稲葉郷店,ファミリーマートオヤマイナバゴウテン,栃木県小山市大字稲葉郷63-6,,36.328329,139.822656,カウウンター裏バックヤード,(0285)20-3009,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000039,栃木県,小山市,ファミリーマートあじと店,ファミリーマートアジトテン,栃木県小山市大字網戸1098-5,,36.277302,139.746224,カウウンター裏バックヤード,(0285)41-7050,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000040,栃木県,小山市,ファミリーマート黒本店,ファミリーマートクロモトテン,栃木県小山市大字黒本127-1,,36.357224,139.795517,カウウンター裏バックヤード,(0285)32-1561,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000041,栃木県,小山市,セブンイレブン小山中里店,セブンイレブンオヤマナカザトテン,栃木県小山市大字中里988-2,,36.290061,139.735287,カウウンター裏バックヤード,(0285)38-1265,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000042,栃木県,小山市,セブンイレブン小山駅西口店,セブンイレブンオヤマエキニシグチ,栃木県小山市城山町3-3-32,,36.3135,139.806316,カウウンター裏バックヤード,(0285)22-0581,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000043,栃木県,小山市,セブンイレブン小山城東店,セブンイレブンオヤマジョウトウテン,栃木県小山市城東2-５-20,,36.315478,139.81307,カウウンター裏バックヤード,(0285)23-4447,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000044,栃木県,小山市,セブンイレブン小山生駒店,セブンイレブンオヤマイコマテン,栃木県小山市大字生駒51,,36.318536,139.755336,カウウンター裏バックヤード,(0285)38-2770,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000045,栃木県,小山市,セブンイレブン小山田間店,セブンイレブンオヤマタマテン,栃木県小山市田間847-3,,36.265733,139.825174,カウウンター裏バックヤード,(0285)28-1172,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000046,栃木県,小山市,セブンイレブン白鷗大学本キャンパス店,セブンイレブンハクオウダイガクホンキヤンパステン,栃木県小山市駅東通り2-2-2,,36.312144,139.807011,カウウンター裏バックヤード,(0285)22-8568,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000047,栃木県,小山市,セブンイレブン小山神山店,セブンイレブンオヤマカミヤマテン,栃木県小山市神山2-915-1,,36.302992,139.802448,カウウンター裏バックヤード,(0285)28-5053,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000048,栃木県,小山市,セブンイレブン小山平和店,セブンイレブンオヤマヒラワテン,栃木県小山市平和94-1,,36.256054,139.764044,カウウンター裏バックヤード,(0285)45-9030,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000049,栃木県,小山市,セブンイレブン小山土塔店,セブンイレブンオヤマドトウテン,栃木県小山市土塔234-1,,36.301774,139.821791,カウウンター裏バックヤード,(0285)27-7548,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000050,栃木県,小山市,ファミリーマート小山八幡町店,ファミリーマートオヤマヤハタチョウテン,栃木県小山市八幡町1-17-5,,36.308334,139.796171,カウウンター裏バックヤード,(0285)20-5808,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000051,栃木県,小山市,ファミリーマート小山神鳥谷店,ファミリーマートオヤマヒトトノヤテン,栃木県小山市神鳥谷2-33-23,,36.298289,139.793348,カウウンター裏バックヤード,(0285)20-0018,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000052,栃木県,小山市,ファミリーマート小山田間店,ファミリーマートオヤマタマテン,栃木県小山市田間691-4,,36.267765,139.826688,カウウンター裏バックヤード,(0285)31-5050,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000053,栃木県,小山市,ミニストップ小山本郷店,ミニストップオヤマホンゴウテン,栃木県小山市本郷町2-1-1,,36.317569,139.802774,カウウンター裏バックヤード,(0285)22-9166,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000054,栃木県,小山市,ミニストップ小山出井店,ミニストップオヤマイデイテン,栃木県小山市出井805-22,,36.333103,139.84352,カウウンター裏バックヤード,(0285)23-3000,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000055,栃木県,小山市,ミニストップ小山東城南店,ミニストップオヤマヒガシジョウナンテン,栃木県小山市東城南3-21-4,,36.289947,139.812527,カウウンター裏バックヤード,(0285)28-2407,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000056,栃木県,小山市,セブンイレブン小山卒島店,セブンイレブンオヤマソシマテン,栃木県小山市卒島1276-3,,36.352133,139.761562,カウウンター裏バックヤード,(0285)37-2081,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000057,栃木県,小山市,セブンイレブン小山下河原田店,セブンイレブンオヤマシモカワラダテン,栃木県小山市下河原田989-3,,36.31311,139.740974,カウウンター裏バックヤード,(0285)38-0080,,4000020092088,小山市,月火水木金土日,4:00,23:00,店舗の営業時間に従う,有,,
092088,0111000058,栃木県,小山市,セブンイレブン小山羽川北店,セブンイレブンオヤマハネカワキタテン,栃木県小山市羽川517-13,,36.369495,139.837199,カウウンター裏バックヤード,(0285)25-7755,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000059,栃木県,小山市,セブンイレブン小山中島橋西店,セブンイレブンオヤマナカジマバシニシテン,栃木県小山市福良字請地前602-1,,36.318793,139.896901,カウウンター裏バックヤード,(0296)32-4758,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000060,栃木県,小山市,セブンイレブン小山花垣店,セブンイレブンオヤマハナガキテン,栃木県小山市花垣町1-4-22,,36.322593,139.806683,カウウンター裏バックヤード,(0285)24-1711,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000061,栃木県,小山市,セブンイレブン小山駅南5丁目店,セブンイレブンオヤマエキミナミゴチョウメテン,栃木県小山市駅南町5-16-25,,36.302617,139.814218,カウウンター裏バックヤード,(0285)28-7525,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000062,栃木県,小山市,ファミリーマート小山中久喜店,ファミリーマートオヤマナカクキテン,栃木県小山市中久喜1113-4,,36.318428,139.846842,カウウンター裏バックヤード,(0285)30-2232,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000063,栃木県,小山市,ファミリーマート小山美しが丘店,ファミリーマートオヤマウツクシガオカテン,栃木県小山市美しが丘3-35-1,,36.25881,139.775848,カウウンター裏バックヤード,(0285)41-0313,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000064,栃木県,小山市,ファミリーマート小山南乙女店,ファミリーマートオヤマミナミオトメテン,栃木県小山市南乙女2-1-2,,36.255655,139.753115,カウウンター裏バックヤード,(0285)41-1606,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092088,0111000065,栃木県,小山市,ミニストップ小山城東2丁目店,ミニストップオヤマジョウトウニチョウメテン,栃木県小山市城東2-35-15,,36.312953,139.818211,カウウンター裏バックヤード,(0285)24-6671,,4000020092088,小山市,月火水木金土日,,,店舗の営業時間に従う,有,,
092208,0111000066,栃木県,小山市,小山市立小山第一小学校,オヤマシリツオヤマダイイチショウガッコウ,栃木県小山市宮本町1-3-1,,36.313578,139.79835,保健室,(0285)22-0074,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000067,栃木県,小山市,小山市立小山第二小学校,オヤマシリツオヤマダイニショウガッコウ,栃木県小山市宮本町2-9-20,,36.31013,139.799846,職員室前廊下,(0285)22-0079,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000068,栃木県,小山市,小山市立小山第三小学校,オヤマシリツオヤマダイサンショウガッコウ,栃木県小山市神鳥谷4-7-51,,36.296672,139.788469,保健室,(0285)24-2355,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000069,栃木県,小山市,小山市立小山城南小学校,オヤマシリツオヤマジョウナンショウガッコウ,栃木県小山市西城南5-29-1,,36.294128,139.797935,保健室,(0285)27-7162,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000070,栃木県,小山市,小山市立旭小学校,オヤマシリツアサヒショウガッコウ,栃木県小山市駅南町5-6-69,,36.304752,139.81449,職員室,(0285)27-6883,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000071,栃木県,小山市,小山市立小山城北小学校,オヤマシリツオヤマジョウホクショウガッコウ,栃木県小山市城北5-18-1,,36.324157,139.820149,保健室,(0285)22-3081,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000072,栃木県,小山市,小山市立若木小学校,オヤマシリツワカギショウガッコウ,栃木県小山市若木町2-6-44,,36.326453,139.805309,職員室,(0285)25-6467,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000073,栃木県,小山市,小山市立東城南小学校,オヤマシリツヒガシジョウナンショウガッコウ,栃木県小山市東城南3-9-5,,36.292661,139.814705,保健室,(0285)38-6328,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000074,栃木県,小山市,小山市立小山城東小学校,オヤマシリツオヤマジョウトウショウガッコウ,栃木県小山市城東1-16-1,,36.307502,139.81639,職員室,(0285)25-2882,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000075,栃木県,小山市,小山市立大谷東小学校,オヤマシリツオオヤヒガシショウガッコウ,栃木県小山市大字横倉新田271,,36.279138,139.822451,職員室,(0285)27-0694,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000076,栃木県,小山市,小山市立大谷東小学校,オヤマシリツオオヤヒガシショウガッコウ,栃木県小山市大字横倉新田271,,36.279114,139.822473,第二職員室,(0285)27-0694,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000077,栃木県,小山市,小山市立大谷南小学校,オヤマシリツオオヤミナミショウガッコウ,栃木県小山市大字東野田2147,,36.253094,139.805341,保健室,(0285)28-0009,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000078,栃木県,小山市,小山市立大谷北小学校,オヤマシリツオオヤキタショウガッコウ,栃木県小山市犬塚5-6-10,,36.306718,139.833121,職員室,(0285)22-0268,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000079,栃木県,小山市,小山市立間々田小学校,オヤマシリツママダショウガッコウ,栃木県小山市大字間々田1512,,36.269135,139.763915,保健室,(0285)45-0022,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000080,栃木県,小山市,小山市立乙女小学校,オヤマシリツオトメショウガッコウ,栃木県小山市大字乙女1954,,36.262598,139.749443,保健室,(0285)45-4114,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000081,栃木県,小山市,小山市立間々田東小学校,オヤマシリツママダヒガシショウガッコウ,栃木県小山市大字間々田57-2,,36.257186,139.777042,職員室,(0285)45-1720,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000082,栃木県,小山市,小山市立下生井小学校,オヤマシリツシモナマイショウガッコウ,栃木県小山市大字下生井1546,,36.247279,139.709154,職員室,0280-55-0372,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000083,栃木県,小山市,小山市立網戸小学校,オヤマシリツアジトショウガッコウ,栃木県小山市大字網戸1514,,36.270705,139.743275,職員室,(0285)45-1732,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000084,栃木県,小山市,小山市立寒川小学校,オヤマシリツサンガワショウガッコウ,栃木県小山市大字中里861,,36.293097,139.735781,職員室,(0285)38-1009,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000085,栃木県,小山市,小山市立豊田小学校,オヤマシリツトヨダショウガッコウ,栃木県小山市大字松沼416-1,,36.348022,139.783641,保健室,(0285)38-9901,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000086,栃木県,小山市,小山市立穂積小学校,オヤマシリツホヅミショウガッコウ,栃木県小山市大字萩島27,,36.312004,139.771927,職員室,(0285)38-2005,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000087,栃木県,小山市,小山市立中小学校,オヤマシリツナカショウガッコウ,栃木県小山市大字南小林109,,36.318376,139.738191,職員室,(0285)38-0649,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000088,栃木県,小山市,小山市立羽川小学校,オヤマシリツハネカワショウガッコウ,栃木県小山市大字羽川125,,36.354155,139.828128,保健室,(0285)22-0186,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000089,栃木県,小山市,小山市立羽川西小学校,オヤマシリツハネカワニシショウガッコウ,栃木県小山市大字黒本771-2,,36.357215,139.809287,職員室前廊下,(0285)25-3022,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000090,栃木県,小山市,小山市立萱橋小学校,オヤマシリツカヤバシショウガッコウ,栃木県小山市大字萱橋1169-１,,36.329411,139.867991,保健室,(0285)49-1185,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000091,栃木県,小山市,小山市立小山中学校,オヤマシリツオヤマチュウガッコウ,栃木県小山市大字渋井779-1,,36.332304,139.80179,職員室,(0285)22-0168,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000092,栃木県,小山市,小山市立小山第二中学校,オヤマシリツオヤマダイニチュウガッコウ,栃木県小山市天神町1-6-36,,36.305964,139.798499,職員室,(0285)22-0089,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000093,栃木県,小山市,小山市立小山第三中学校,オヤマシリツオヤマダイサンチュウガッコウ,栃木県小山市犬塚3-29-1,,36.314742,139.832341,保健室,(0285)25-5745,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000094,栃木県,小山市,小山市立小山城南中学校,オヤマシリツオヤマジョウナンチュウガッコウ,栃木県小山市東城南1-22-9,,36.295311,139.811349,保健室,(0285)27-5800,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000095,栃木県,小山市,小山市立大谷中学校,オヤマシリツオオヤチュウガッコウ,栃木県小山市大字横倉新田97,,36.275324,139.821791,職員室,(0285)27-0252,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000096,栃木県,小山市,小山市立間々田中学校,オヤマシリツママダチュウガッコウ,栃木県小山市大字間々田2364,,36.276205,139.766487,職員室,(0285)45-0062,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000097,栃木県,小山市,小山市立乙女中学校,オヤマシリツオトメチュウガッコウ,栃木県小山市大字乙女1731,,36.262881,139.754673,職員室,(0285)45-3600,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000098,栃木県,小山市,小山市立豊田中学校,オヤマシリツトヨダチュウガッコウ,栃木県小山市大字松沼397,,36.346614,139.781896,保健室,(0285)37-0004,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000099,栃木県,小山市,小山市立美田中学校,オヤマシリツミタチュウガッコウ,栃木県小山市大字下国府塚287,,36.31735,139.761211,職員室前廊下,(0285)38-2006,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000100,栃木県,小山市,小山市立桑中学校,オヤマシリツクワチュウガッコウ,栃木県小山市大字出井1859,,36.34522,139.830442,職員室,(0285)22-0187,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
092208,0111000101,栃木県,小山市,小山市立絹義務教育学校,オヤマシリツキヌギムキョウイクガッコウ,栃木県小山市大字福良2240-1,,36.330206,139.896114,（東校舎）職員室前廊下,(0285)49-0141,,4000020092088,小山市,月火水木金,8:15,16:30,学校閉庁日（夏季休業期間、冬季休業期間）は除く,有,,
